Name,Description,List,Labels
"Configurar repositorio y entorno de desarrollo","Establecer el repositorio Git y preparar el entorno local para el equipo.","Por hacer","Infraestructura"
"Crear esquema inicial de la base de datos","Definir tablas para clientes, ubicaciones, productos e inventario en src/db/schema.sql.","Por hacer","Base de datos"
"Diseñar flujo de creación y edición de productos","Definir la experiencia y los pasos para crear, consultar, editar y eliminar productos.","Por hacer","UX"
"Iniciar módulo de ubicaciones y mapa","Comenzar el desarrollo del módulo de ubicaciones y su integración con el mapa interactivo.","Por hacer","Mapa"
"Implementar inventario de productos terminados","Agregar soporte para productos terminados al módulo de inventario y diferenciarlos de insumos.","En progreso","Inventario"
"Actualizar lógica de recetas para descontar insumos automáticamente","Hacer que las recetas resten insumos usados para mantener el inventario actualizado.","En progreso","Producción"
"Modificar módulo de movimientos para insumos y productos terminados","Registrar movimientos de insumos y productos terminados con trazabilidad completa.","En progreso","Movimientos"
"Fortalecer búsquedas de productos en formularios","Mejorar filtros y buscadores en los formularios de pedidos y productos.","En progreso","UX"
"Completar normalización de clientes y ubicaciones","Normalizar la estructura relacional entre clientes, ubicaciones y pedidos.","En progreso","Base de datos"
"Ajustar módulo de pedidos para usar ubicaciones asociadas a clientes","Permitir que el flujo de pedidos utilice ubicaciones ya vinculadas a clientes.","En progreso","Pedidos"
"Implementar confirmación y cancelación de movimientos","Agregar opciones para confirmar o cancelar movimientos de inventario antes de registrar cambios.","Pendiente de revisión","QA"
"Reestructurar mapa para ubicaciones asociadas a clientes","Vincular las ubicaciones del mapa con clientes registrados y mejorar su gestión.","Pendiente de revisión","Mapa"
"Preparar pruebas de flujo completo con pedido","Realizar un caso integral de prueba que cubra pedido, inventario y mapa interactivo.","Pendiente de revisión","QA"
"Validar permisos y acceso de usuarios de prueba","Revisar permisos de administradores, empleados y testers en el sistema.","Hecho","Seguridad"
"Publicar aplicación en entorno accesible para pruebas","Mantener el despliegue en línea y verificar el acceso remoto para pruebas.","Hecho","Despliegue"
"Crear usuarios de prueba y credenciales iniciales","Generar credenciales para las pruebas internas de usuarios.","Hecho","QA"
"Mejorar trazabilidad de movimientos de stock","Asegurar que los movimientos de stock registren origen, destino y ajustes con precisión.","Por hacer","Movimientos"
"Mejorar mensajes de error y confirmación en el sistema","Agregar mensajes claros de error y confirmación para formularios de pedidos e inventario.","Por hacer","UX"
"Realizar segunda ronda de pruebas funcionales","Ejecutar una nueva sesión de pruebas completas para validar el flujo de pedidos y movimientos.","Por hacer","QA"
"Ajustar cálculos de recetas por presentación","Calcular recetas considerando tamaños y presentaciones para cantidades precisas de producción.","Por hacer","Producción"
"Crear dropdowns y buscadores para listas grandes","Implementar dropdowns y buscadores en módulos con muchos registros para agilizar la selección.","Por hacer","UX"
"Separar entidades Cliente y Ubicación","Rediseñar la estructura para tratar Cliente y Ubicación como entidades relacionadas y no duplicadas.","Por hacer","Base de datos"
"Permitir relaciones múltiples entre clientes y ubicaciones","Soportar que un cliente tenga varias ubicaciones y que una ubicación pueda asociarse a varios clientes.","Por hacer","Base de datos"
"Reemplazar campos Tipo/Tamaño por buscador en asignación de inventario","Sustituir selecciones fijas por un campo de búsqueda al asignar inventario a ubicaciones.","Por hacer","Inventario"
"Permitir vincular ubicaciones existentes a clientes","Ofrecer la opción de asociar ubicaciones registradas a clientes sin crear nuevas ubicaciones.","Por hacer","Pedidos"
